Note 284: MIDI 58.68682057635243 (Start: 11.87s, Duration: 0.03s)
Note 285: MIDI 58.78682057635243 (Start: 11.90s, Duration: 0.03s)
Note 286: MIDI 58.88682057635243 (Start: 11.94s, Duration: 0.03s)
Note 287: MIDI 58.98682057635243 (Start: 11.97s, Duration: 0.03s)
Note 288: MIDI 59.08682057635242 (Start: 12.00s, Duration: 0.03s)
Note 289: MIDI 59.18682057635243 (Start: 12.03s, Duration: 0.03s)
Note 290: MIDI 59.08682057635242 (Start: 12.06s, Duration: 0.06s)
Note 291: MIDI 58.88682057635243 (Start: 12.13s, Duration: 0.13s)
Note 292: MIDI 58.98682057635243 (Start: 12.26s, Duration: 0.13s)
Note 293: MIDI 58.88682057635243 (Start: 12.38s, Duration: 0.03s)
Note 294: MIDI nan (Start: 12.42s, Duration: 0.03s)
Note 295: MIDI nan (Start: 12.45s, Duration: 0.03s)
Note 296: MIDI 42.08682057635244 (Start: 12.48s, Duration: 0.03s)
Note 297: MIDI 41.98682057635243 (Start: 12.51s, Duration: 0.03s)
Note 298: MIDI 42.08682057635244 (Start: 12.54s, Duration: 0.16s)
Note 299: MIDI 41.98682057635243 (Start: 12.70s, Duration: 0.06s)
Note 300: MIDI 42.08682057635244 (Start: 12.77s, Duration: 0.03s)
Note 301: MIDI nan (Start: 12.80s, Duration: 0.03s)
Note 302: MIDI nan (Start: 12.83s, Duration: 0.03s)
Note 303: MIDI nan (Start: 12.86s, Duration: 0.03s)
Note 304: MIDI nan (Start: 12.90s, Duration: 0.03s)
Note 305: MIDI nan (Start: 12.93s, Duration: 0.03s)
Note 306: MIDI nan (Start: 12.96s, Duration: 0.03s)
Note 307: MIDI nan (Start: 12.99s, Duration: 0.03s)
Note 308: MIDI nan (Start: 13.02s, Duration: 0.03s)
Note 309: MIDI 41.786820576352426 (Start: 13.06s, Duration: 0.10s)
Note 310: MIDI 42.08682057635244 (Start: 13.15s, Duration: 0.03s)
Note 311: MIDI 41.786820576352426 (Start: 13.18s, Duration: 0.03s)
Note 312: MIDI nan (Start: 13.22s, Duration: 0.03s)
Note 313: MIDI nan (Start: 13.25s, Duration: 0.03s)
Note 314: MIDI nan (Start: 13.28s, Duration: 0.03s)
Note 315: MIDI nan (Start: 13.31s, Duration: 0.03s)
Note 316: MIDI nan (Start: 13.34s, Duration: 0.03s)
Note 317: MIDI nan (Start: 13.38s, Duration: 0.03s)
Note 318: MIDI nan (Start: 13.41s, Duration: 0.03s)
Note 319: MIDI nan (Start: 13.44s, Duration: 0.03s)
Note 320: MIDI nan (Start: 13.47s, Duration: 0.03s)
Note 321: MIDI nan (Start: 13.50s, Duration: 0.03s)
Note 322: MIDI nan (Start: 13.54s, Duration: 0.03s)
Note 323: MIDI nan (Start: 13.57s, Duration: 0.03s)
Note 324: MIDI nan (Start: 13.60s, Duration: 0.03s)
Note 325: MIDI nan (Start: 13.63s, Duration: 0.03s)
Note 326: MIDI nan (Start: 13.66s, Duration: 0.03s)
Note 327: MIDI nan (Start: 13.70s, Duration: 0.03s)
Note 328: MIDI nan (Start: 13.73s, Duration: 0.03s)
Note 329: MIDI nan (Start: 13.76s, Duration: 0.03s)
Note 330: MIDI nan (Start: 13.79s, Duration: 0.03s)
Note 331: MIDI nan (Start: 13.82s, Duration: 0.03s)
Note 332: MIDI nan (Start: 13.86s, Duration: 0.03s)
Note 333: MIDI nan (Start: 13.89s, Duration: 0.03s)
Note 334: MIDI nan (Start: 13.92s, Duration: 0.03s)
Note 335: MIDI nan (Start: 13.95s, Duration: 0.03s)
Note 336: MIDI nan (Start: 13.98s, Duration: 0.03s)
Note 337: MIDI nan (Start: 14.02s, Duration: 0.03s)
Note 338: MIDI nan (Start: 14.05s, Duration: 0.03s)
Note 339: MIDI nan (Start: 14.08s, Duration: 0.03s)
Note 340: MIDI nan (Start: 14.11s, Duration: 0.03s)
Note 341: MIDI nan (Start: 14.14s, Duration: 0.03s)
Note 342: MIDI nan (Start: 14.18s, Duration: 0.03s)
Note 343: MIDI nan (Start: 14.21s, Duration: 0.03s)
Note 344: MIDI 60.88682057635244 (Start: 14.24s, Duration: 0.03s)
Note 345: MIDI 60.58682057635244 (Start: 14.27s, Duration: 0.03s)
Note 346: MIDI 60.18682057635244 (Start: 14.30s, Duration: 0.03s)
Note 347: MIDI 58.98682057635243 (Start: 14.34s, Duration: 0.06s)
Note 348: MIDI 58.88682057635243 (Start: 14.40s, Duration: 0.03s)
Note 349: MIDI 58.98682057635243 (Start: 14.43s, Duration: 0.03s)
Note 350: MIDI 59.08682057635242 (Start: 14.46s, Duration: 0.03s)
Note 351: MIDI 59.18682057635243 (Start: 14.50s, Duration: 0.03s)
Note 352: MIDI 60.68682057635243 (Start: 14.53s, Duration: 0.06s)
Note 353: MIDI 61.08682057635243 (Start: 14.59s, Duration: 0.06s)
Note 354: MIDI 60.986820576352436 (Start: 14.66s, Duration: 0.03s)
Note 355: MIDI 60.88682057635244 (Start: 14.69s, Duration: 0.03s)
Note 356: MIDI 58.98682057635243 (Start: 14.72s, Duration: 0.03s)
Note 357: MIDI 57.18682057635243 (Start: 14.75s, Duration: 0.03s)
Note 358: MIDI nan (Start: 14.78s, Duration: 0.03s)
Note 359: MIDI nan (Start: 14.82s, Duration: 0.03s)
Note 360: MIDI 39.886820576352434 (Start: 14.85s, Duration: 0.03s)
Note 361: MIDI 39.98682057635243 (Start: 14.88s, Duration: 0.06s)
Note 362: MIDI 39.886820576352434 (Start: 14.94s, Duration: 0.03s)
Note 363: MIDI 39.786820576352426 (Start: 14.98s, Duration: 0.03s)
Note 364: MIDI 39.886820576352434 (Start: 15.01s, Duration: 0.10s)
Note 365: MIDI 40.286820576352426 (Start: 15.10s, Duration: 0.03s)
Note 366: MIDI 40.18682057635243 (Start: 15.14s, Duration: 0.06s)
Note 367: MIDI 40.08682057635243 (Start: 15.20s, Duration: 0.03s)
Note 368: MIDI 39.98682057635243 (Start: 15.23s, Duration: 0.03s)
Note 369: MIDI 40.08682057635243 (Start: 15.26s, Duration: 0.03s)
Note 370: MIDI 40.38682057635242 (Start: 15.30s, Duration: 0.03s)
Note 371: MIDI 39.48682057635243 (Start: 15.33s, Duration: 0.03s)
Note 372: MIDI 39.886820576352434 (Start: 15.36s, Duration: 0.03s)
Note 373: MIDI 40.08682057635243 (Start: 15.39s, Duration: 0.03s)
Note 374: MIDI 39.98682057635243 (Start: 15.42s, Duration: 0.03s)
Note 375: MIDI 39.68682057635243 (Start: 15.46s, Duration: 0.19s)
Note 376: MIDI 39.48682057635243 (Start: 15.65s, Duration: 0.06s)
Note 377: MIDI 39.886820576352434 (Start: 15.71s, Duration: 0.03s)
Note 378: MIDI nan (Start: 15.74s, Duration: 0.03s)
Note 379: MIDI nan (Start: 15.78s, Duration: 0.03s)
Note 380: MIDI nan (Start: 15.81s, Duration: 0.03s)
Note 381: MIDI nan (Start: 15.84s, Duration: 0.03s)
